scald -> brook, emmew, gynny, xviii, zhuzh, pfftt
block -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, qajaq, wuffs, gynny, immix, phpht
eject -> swans/snaws, kudzu, hyphy, grrrl, immix, boffo
catch/hatch -> kudzu, peepe, grrrl, immix, boffo, wynns
stump -> qajaq, weeke, chynd, grrrl, xviii, boffo
spool/sloop -> femme, qajaq, kudzu, cwtch, gynny, xviii
mimic -> wrong/grown, buffs, qajaq, keeve, xylyl, phpht
crack -> bevel/belve, dowds/woods, gynny, immix, zhuzh, pfftt
slash/shall -> modoc, urubu, weeke, gynny, xviii, pfftt
groom -> swans/snaws, cezve, kibbi, xylyl, hudud, pfftt
humph -> nebek, qajaq, cocco, grrrl, vivid, xysts
quack -> effed, grrrl, bombo, xviii, phpht, wynns
drink -> lusus/sulus/sulls/lulls/lulus, qajaq, cwtch, exeem/exeme, gyppy, boffo
alarm -> pudus/spuds, cwtch, gynny, jeeze, xviii, boffo
canal -> sudds, gobbo, weeke, myrrh/rhymy, xviii, pfftt
creme -> swans/snaws, kibbi, xylyl, doggo/goodo, zhuzh, pfftt
floor -> nebek, sudds, qajaq, cwtch, gyppy, immix
thump -> addax, civic, nonno, jeeze, grrrl, skyfs
nymph -> stots/sotto/soots/toots/stoss/stott/ottos, qajaq, effed, grrrl, xviii, bucku
mucus -> wrong/grown, qajaq, effed, kibbi, xylyl, phpht
aback -> wrong/grown, femme, xylyl, vivid, jujus, phpht
welch -> kabar/bakra, gynny, jujus, xviii, modom/odoom, pfftt
brown -> cheek/check/keech, qajaq, muggs/smugs, xylyl, vivid, pfftt
icing -> bevel/belve, qajaq, skyrs, zhuzh, modom/odoom, pfftt
bench -> moody/doomy, qajaq, kuzus, grrrl, xviii, pfftt
stock -> femme, qajaq, hyphy, grrrl, xviii, bundu
enemy -> pudus/spuds, qajaq, cwtch, grrrl, xviii, boffo
refer/freer -> swans/snaws, kudzu, civic, gobbo, xylyl, phpht
bezel -> pudus/spuds, fromm/froom, qajaq, cwtch, gynny, xviii
rebel -> infix, qajaq, kudzu, omovs, cwtch, gyppy
slung -> addax, kibbi, cocco, jeeze, myrrh/rhymy, pfftt
crass -> femme, kudzu, bobol, gynny, xviii, phpht
conch -> emmys/messy, qajaq, kudzu, grrrl, xviii, pfftt
whiff -> compo, qajaq, kudzu, grrrl, benne/ebene, xysts
scrum -> nebek, qajaq, hoogo/hogoh, xylyl, vivid, pfftt
stunt -> femme, addax, hyphy, kibbi, cocco, grrrl
clack -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, wuffs, gynny, bombo, xviii, phpht
sweep -> infix, qajaq, kudzu, cocco, grrrl, mythy/thymy
sense -> yuppy/puppy, qajaq, cwtch, kibbi, grrrl, modom/odoom
verse/serve/sever -> infix, qajaq, kudzu, bobol, cwtch, gyppy
whoop -> infix, qajaq, kudzu, cysts, grrrl, mebbe
bunch -> patta/attap/tappa, jeeze, grrrl, skyfs, xviii, modom/odoom
kappa -> bevel/belve, sudds, cwtch, gynny, zorro, immix
basal -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, cocco, gynny, immix, zhuzh, pfftt
spill -> femme, qajaq, kudzu, cwtch, gynny, robbo
blond -> femme, qajaq, vizir, cwtch, gyppy, kukus/sukuk
grill -> femme, qajaq, kudzu, cocco, phpht, wynns
dandy -> cheek/check/keech, grrrl, bombo, jujus, xviii, pfftt
pygmy -> nebek, filii, addax, cwtch, zorro, jujus
fussy -> nebek, qajaq, modoc, grrrl, xviii, phpht
fifth -> qajaq, kudzu, peepe, cocco, grrrl, wynns
frond -> bevel/belve, qajaq, kuzus, cwtch, gyppy, immix
crawl -> buffs, gynny, jeeze, xviii, modom/odoom, phpht
evoke -> addax, mimic, grrrl, zhuzh, wynns, pfftt
plaza -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, cwtch, jukus, gynny, immix, boffo
woody/dowdy -> nebek, qajaq, civic, smush/humus, grrrl, pfftt
mamma -> wrong/grown, cheek/check/keech, bubus/bussu, xylyl, vivid, pfftt
broom -> swans/snaws, edged/egged, civic, xylyl, zhuzh, pfftt
sneer -> filii, qajaq, kudzu, cwtch, gyppy, bombo
cling -> sudds, qajaq, keeve, myrrh/rhymy, oxbow, pfftt
frill -> nebek, qajaq, cwtch, gyppy, susus, modom/odoom
photo -> femme, qajaq, kudzu, civic, grrrl, wynns
drown -> cheek/check/keech, qajaq, xylyl, susus, zimbi, pfftt
sworn -> femme, qajaq, kudzu, civic, xylyl, phpht
queen -> addax, civic, grrrl, skyfs, bombo, phpht
twist -> femme, addax, hyphy, nonno, grrrl, bucku
mecca -> kudzu, grrrl, xviii, boffo, phpht, wynns
colon -> addax, kibbi, jeeze, myrrh/rhymy, susus, pfftt
gland -> civic, jeeze, kukus/sukuk, myrrh/rhymy, oxbow, pfftt
shaky -> civic, mundu, jeeze, grrrl, oxbow, pfftt
small -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, civic, gynny, zhuzh, oxbow, pfftt
ranch -> boobs/bobos/obbos, weeke, jugum, xylyl, vivid, pfftt
brick -> dowls/wolds, qajaq, exeem/exeme, gynny, zhuzh, pfftt
verse/serve/sever -> infix, qajaq, kudzu, bobol, cwtch, gyppy
prism -> qajaq, dukun, cwtch, gobbo, xylyl, feeze
knoll -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, buffs, qajaq, cwtch, gyppy, immix
scrub -> filii, qajaq, keeve, gynny, modom/odoom, phpht
sweet -> infix, qajaq, kudzu, hyphy, cocco, grrrl
sperm -> ongon, qajaq, kudzu, cwtch, xviii, flyby
shown -> buzzy, addax, keeve, mimic, grrrl, pfftt
child -> qajaq, brook, exeem/exeme, gynny, susus, pfftt
rigid -> swans/snaws, chuck, xylyl, jeeze, bombo, pfftt
emcee -> wrong/grown, buffs, qajaq, xylyl, vivid, phpht
funny -> swizz, addax, cocco, keeve, grrrl, phpht
spell/sleep -> fromm/froom, qajaq, kudzu, cwtch, gynny, xviii
crick -> swans/snaws, edged/egged, xylyl, bombo, zhuzh, pfftt
condo -> patta/attap/tappa, emmew, grrrl, skyfs, xviii, zhuzh
bless -> moron, qajaq, kudzu, cwtch, gyppy, xviii
shrub/brush -> cleck/cleek, qajaq, gynny, xviii, modom/odoom, pfftt
awash/swash -> nebek, vizir, cocco, jugum, xylyl, pfftt
wring -> cheek/check/keech, sudds, qajaq, xylyl, bombo, pfftt
hymen -> addax, kibbi, cocco, grrrl, jujus, pfftt
clown -> addax, kibbi, jeeze, myrrh/rhymy, susus, pfftt
synod -> femme, qajaq, grrrl, xviii, bucku, phpht
fetch -> qajaq, kudzu, grrrl, bombo, xviii, wynns
leper/repel -> buffs, qajaq, cwtch, gynny, xviii, modom/odoom
mucky -> swans/snaws, jeeze, bodoh, grrrl, xviii, pfftt
slump -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, qajaq, cwtch, gynny, xviii, boffo
amaze -> kibbi, cocco, grrrl, wynns, hudud, pfftt
handy -> kuzus, cocco, emmew, grrrl, xviii, pfftt
press/spree -> filii, qajaq, kudzu, cwtch, gynny, bombo
bliss -> dreer/reded/reerd/dreed/dered/deere/erred/reede/drere, qajaq, cocco, gynny, zhuzh, pfftt
beset -> infix, qajaq, kudzu, hyphy, cocco, grrrl
droll/drool -> nebek, qajaq, cwtch, fuffs, gyppy, immix
shack -> buzzy, exeem/exeme, nonno, grrrl, vivid, pfftt
gloom -> cheek/check/keech, qajaq, urubu, vivid, wynns, pfftt
jiffy -> swans/snaws, kudzu, cocco, exeem/exeme, grrrl, phpht
